"181","181","","","    N. p. perdicaria","(Kittlitz, 1830)","nc Chile","","",""
"182","182","","","    N. p. sanborni","Conover, 1924","sc Chile","","",""
"183","183","","Brushland Tinamou","Nothoprocta cinerascens","(Burmeister, 1860)","SA : Southern Cone","","",""
"184","184","","","    N. c. cinerascens","(Burmeister, 1860)","se Bolivia to nw Paraguay and c Argentina","","",""
"185","185","","","    N. c. parvimaculata","Olrog, 1959","nw Argentina","","",""
"186","186","","Andean Tinamou","Nothoprocta pentlandii","(Gray, GR, 1867)","SA : Ecuador to c Argentina","","",""
"187","187","","","    N. p. ambigua","Cory, 1915","s Ecuador and nw Peru","","",""
"188","188","","","    N. p. niethammeri","Koepcke, 1968","wc Peru","","",""
"189","189","","","    N. p. oustaleti","Berlepsch &amp; Stolzmann, 1901","c, s Peru","","",""
"190","190","","","    N. p. fulvescens","Berlepsch, 1902","se Peru","","",""
"191","191","","","    N. p. pentlandii","(Gray, GR, 1867)","w Bolivia, nw Argentina (Catamarca) and n Chile","","",""
"192","192","","","    N. p. patriciae","Hoy, G, 1987","nw Argentina (Salta)","SSP","Add (Cabot et al. 2016).",""
"193","193","","","    N. p. mendozae","Banks &amp; Bohl, 1968","wc Argentina","","",""
"194","194","","","    N. p. doeringi","Cabanis, 1878","c Argentina","","",""
"195","195","","Curve-billed Tinamou","Nothoprocta curvirostris","Sclater, PL &amp; Salvin, 1873","SA : Ecuador, Peru","","",""
"196","196","","","    N. c. curvirostris","Sclater, PL &amp; Salvin, 1873","c Ecuador to n Peru","","",""
"197","197","","","    N. c. peruviana","Taczanowski, 1886","n, c Peru","","",""
"198","198","","","Nothura","Wagler, 1827","","","",""
"199","199","","White-bellied Nothura","Nothura boraquira","(Spix, 1825)","SA : e Brazil to e Bolivia and ne Paraguay","","",""
"200","200","","Lesser Nothura","Nothura minor","(Spix, 1825)","SA : se Brazil","","",""
"201","201","","Darwin&#39;s Nothura","Nothura darwinii","Gray, GR, 1867","SA : Peru to sc Argentina","","",""
"202","202","","","    N. d. peruviana","Berlepsch &amp; Stolzmann, 1906","s Peru","","",""
"203","203","","","    N. d. agassizii","Bangs, 1910","se Peru and w Bolivia","","",""
"204","204","","","    N. d. boliviana","Salvadori, 1895","w Bolivia","","",""
"205","205","","","    N. d. salvadorii","Hartert, E, 1909","w Argentina","","",""
"206","206","","","    N. d. darwinii","Gray, GR, 1867","sc Argentina","","",""
"207","207","","Spotted Nothura","Nothura maculosa","(Temminck, 1815)","SA : se","","",""
"208","208","","","    N. m. cearensis","Naumburg, 1932","ne Brazil","","",""
"209","209","","","    N. m. major","(Spix, 1825)","ec Brazil","","",""
"210","210","","","    N. m. paludivaga","Conover, 1950","c Paraguay and nc Argentina","","",""
"211","211","","","    N. m. maculosa","(Temminck, 1815)","se Brazil to e Paraguay, ne Argentina and Uruguay","","",""
"212","212","","","    N. m. pallida","Olrog, 1959","nw Argentina","","",""
"213","213","","","    N. m. annectens","Conover, 1950","e Argentina","","",""
"214","214","","","    N. m. submontana","Conover, 1950","sw Argentina","","",""
"215","215","","","    N. m. nigroguttata","Salvadori, 1895","sc Argentina","","",""
"216","216","","","    N. m. chacoensis","Conover, 1937","nw Paraguay","AL, SSP","Treat (9.1) Chaco Nothura as a subspecies of Spotted Nothura (Hayes et al. 2018; SACC 782).",""
"217","217","","","Taoniscus","Gloger, 1842","","","",""
"218","218","","Dwarf Tinamou","Taoniscus nanus","(Temminck, 1815)","SA : se Brazil and ne Argentina","","",""
"219","219","","","Eudromia","Geoffroy Saint-Hilaire, I, 1832","","","",""
"220","220","","Elegant Crested Tinamou","Eudromia elegans","Geoffroy Saint-Hilaire, I, 1832","SA : Southern Cone","","",""
"221","221","","","    E. e. intermedia","(Dabbene &amp; Lillo, 1913)","nw Argentina","","",""
"222","222","","","    E. e. magnistriata","Olrog, 1959","nc Argentina","","",""
"223","223","","","    E. e. riojana","Olrog, 1959","wc Argentina","","",""
"224","224","","","    E. e. albida","(Wetmore, 1921)","wc Argentina","","",""
"225","225","","","    E. e. wetmorei","Banks, 1977","w Argentina","","",""
"226","226","","","    E. e. numida","Banks, 1977","c Argentina","","",""
"227","227","","","    E. e. elegans","Geoffroy Saint-Hilaire, I, 1832","sc Argentina","","",""
"228","228","","","    E. e. multiguttata","Conover, 1950","ec Argentina","","",""
"229","229","","","    E. e. devia","Conover, 1950","sw Argentina","","",""
"230","230","","","    E. e. patagonica","Conover, 1950","s Chile and s Argentina","","",""
"231","231","","Quebracho Crested Tinamou","Eudromia formosa","(Lillo, 1905)","SA : Paraguay and n Argentina","","",""
"232","232","","","    E. f. formosa","(Lillo, 1905)","n Argentina","","",""
"233","233","","","    E. f. mira","Brodkorb, 1938","sw Paraguay","SSP","Add (Davies 2002).",""
"234","234","","","Tinamotis","Vigors, 1837","","","",""
"235","235","","Puna Tinamou","Tinamotis pentlandii","Vigors, 1837","SA : sc Peru, n Bolivia, n Chile and nw Argentina","","",""
"236","236","","Patagonian Tinamou","Tinamotis ingoufi","Oustalet, 1890","SA : s Chile and sw Argentina","","",""
